,Colouring,Director,Critic Review Count,Duration,Director Facebook Likes,Actor 3 Facebook Likes,Actor 2,Actor 1 Facebook Likes,Gross,Genres,Actor 1,Title,IMDb Votes,Cast Facebook Likes,Actor 3,Poster Facenumber,Plot Keywords,IMDb Link,User Review Count,Language,Country,Countent Rating,Budget,Actor 2 Facebook Likes,IMDb Score,Aspect Ratio,Facebook Likes,IMDb ID,id,Popularity,Revenue,Cast,Homepage,Tagline,Overview,Runtime,Production Companies,Release Date,Vote Count,Average Vote,Release Year,Adjusted Budget,Adjusted Revenue
3023,Color,Gil Junger,133.0,97.0,19.0,835.0,Heath Ledger,23000.0,38176108.0,Comedy,Joseph Gordon-Levitt,10 Things I Hate About You,222099,37907,Andrew Keegan,6.0,dating|protective father|school|shrew|teen movie,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,549.0,English,USA,PG-13,16000000.0,13000.0,7.2,1.85,10000,tt014780,4951,1.769152,53478166,Julia Stiles|Heath Ledger|Joseph Gordon-Levitt|Larisa Oleynik|Larry Miller,,How do I loathe thee? Let me count the ways.,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",97,Mad Chance|Jaret Entertainment|Touchstone Pictures,3/30/1999,947,7.2,1999,20944845.55,70005745.43
582,Color,Kevin Lima,84.0,100.0,36.0,439.0,Eric Idle,2000.0,66941559.0,Adventure,Ioan Gruffudd,102 Dalmatians,26413,4182,Jim Carter,1.0,dog|parole|parole officer|prison|puppy,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,77.0,English,USA,G,85000000.0,795.0,4.8,1.85,372,tt021118,10481,0.410235,183611771,Glenn Close|Ioan Gruffudd|Alice Evans|Tim McInnerny|GÃ©rard Depardieu,,Meet Two Unlikely Heroes With A Bone To Pick.,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",100,Walt Disney Pictures|Cruella Productions,10/7/2000,150,5.0,2000,107634829.7,232506137.7
3482,Color,Robert Moresco,26.0,107.0,53.0,463.0,Brad Renfro,954.0,53481.0,Crime,Brian Dennehy,10th & Wolf,5557,2512,Dash Mihok,5.0,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34.0,English,USA,R,8000000.0,551.0,6.4,2.35,294,tt036032,13197,0.384988,143451,James Marsden|Brian Dennehy|Leo Rossi|Dennis Hopper|Giovanni Ribisi,,"The Intersection Where Family, Honor and Betrayal Collide.","A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",107,Thinkfilm,2/19/2006,12,6.0,2006,8653353.266,155166.5224
3640,Color,Greg Marcks,68.0,85.0,9.0,407.0,Barbara Hershey,861.0,,Comedy,Henry Thomas,11:14,38273,2200,Shawn Hatosy,1.0,convenience store|multiple perspectives|murder|paramedic|van,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133.0,English,USA,R,6000000.0,618.0,7.2,1.85,0,tt033181,9282,0.872052,0,Henry Thomas|Blake Heron|Barbara Hershey|Hilary Swank|Clark Gregg,,Fate can change in seconds.,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,86,Firm Films|Media 8 Entertainment|MDP Worldwide,5/16/2003,113,6.7,2003,7112115.869,0.0
4235, Black and White,Sidney Lumet,177.0,96.0,0.0,253.0,Lee J. Cobb,359.0,,Crime,Jack Warden,12 Angry Men,447785,1433,John Fiedler,1.0,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888.0,English,USA,Not Rated,350000.0,259.0,8.9,1.66,40000,tt005008,12219,0.24382,0,Courtney B. Vance|Ossie Davis|George C. Scott|Armin Mueller-Stahl|Dorian Harewood,,,"During the trial of a man accused of his father's murder, a lone juror takes a stand against the guilty verdict handed down by the others as a result of their preconceptions and prejudices. The film is adapted by Reginald Rose from his own 1957 film version (directed by Sidney Lumet) and from the Westinghouse One television production that predated it. George C. Scott won a Golden Globe for his supporting role; righteous juror Jack Lemmon was denied such an honor for Best Actor, but recipient Ving Rhames (for Don King) dedicated his award to Lemmon.",117,MGM Television,8/17/1997,37,7.5,1997,0.0,0.0
2503,Color,Renny Harlin,113.0,108.0,212.0,347.0,Ashley Scott,969.0,12232937.0,Action,Taylor Cole,12 Rounds,22823,2799,Nick Gomez,1.0,2000s|detective|sadist|terrorism|terrorist,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113.0,English,USA,PG-13,22000000.0,794.0,5.6,2.35,0,tt116036,17134,0.826039,17280326,John Cena|Ashley Scott|Brian J. White|Aidan Gillen|Steve Harris,http://www.12rounds-movie.com/,Survive all 12,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",108,The Mark Gordon Company|Fox Atomic|20th Century Fox Home Entertainment|WWE Studios|Midnight Sun Pictures,3/19/2009,130,5.9,2009,20328008.68,17563730.85
2401,Color,Steve McQueen,597.0,134.0,0.0,500.0,Scoot McNairy,2000.0,56667870.0,Biography,Quvenzhan?? Wallis,12 Years a Slave,439176,4251,Taran Killam,0.0,racism|separation from family|social injustice|torture|whipping,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695.0,English,USA,R,20000000.0,660.0,8.1,2.35,83000,tt202454,76203,3.625529,187000000,Chiwetel Ejiofor|Michael Fassbender|Lupita Nyong'o|Benedict Cumberbatch|Paul Dano,,The extraordinary true story of Solomon Northup,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomonâ€™s chance meeting with a Canadian abolitionist will forever alter his life.",134,Plan B Entertainment|Regency Enterprises|River Road Entertainment|Film4|New Regency Pictures,10/18/2013,2241,7.9,2013,18720667.05,175038237.0
2633,Color,Danny Boyle,450.0,94.0,0.0,223.0,Treat Williams,11000.0,18329466.0,Adventure,James Franco,127 Hours,279179,11984,Kate Burton,0.0,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,440.0,English,USA,R,18000000.0,642.0,7.6,1.85,63000,tt154234,44115,2.440611,35692920,James Franco|Kate Mara|Amber Tamblyn|ClÃ©mence PoÃ©sy|Lizzy Caplan,,There is no force more powerful than the will to live.,"127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he is finally rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the two hikers he met before his accident. Will they be the last two people he ever had the chance to meet?",94,Fox Searchlight Pictures|Dune Entertainment|Darlow Smithson Productions|Warner Bros.|Cloud Eight Films,11/5/2010,1645,6.9,2010,18000000.0,35692920.0
2314,Color,Mikael H??fstr??m,314.0,114.0,101.0,23.0,Kim Thomson,129.0,71975611.0,Fantasy,Drew Powell,1408,209396,214,Alexandra Silber,0.0,book|debunking|evil|hotel|paranormal phenomena,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,580.0,English,USA,PG-13,25000000.0,25.0,6.8,2.35,11000,tt045038,3021,0.917818,94679598,John Cusack|Samuel L. Jackson|Mary McCormack|Jasmine Jessica Anthony|Tony Shalhoub,http://www.1408-themovie.com/,The only demons in room 1408 are those within you.,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",104,Dimension Films,7/12/2007,746,6.4,2007,26291714.57,99571558.63
1373,Color,John Herzfeld,151.0,120.0,17.0,808.0,Charlize Theron,22000.0,24375436.0,Action,Robert De Niro,15 Minutes,42547,33585,Kelsey Grammer,1.0,criminal|detective|fire|homicide|media,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265.0,English,USA,R,42000000.0,9000.0,6.1,2.35,748,tt017962,2749,0.572909,56359980,Robert De Niro|Charlize Theron|Edward Burns|Kelsey Grammer|Avery Brooks,,America Likes to Watch,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",120,New Line Cinema|Industry Entertainment|Tribeca Productions|New Redemption Pictures,3/1/2001,84,5.7,2001,73889287.0,69406645.63
